User,GameNr,Category,Level,MoveNr,RT,UserMoves,OpponentMoves,Result
166:R_9Nac2hjg6u7BlS1,0,2,10,1,8.394,4,3,win
166:R_9Nac2hjg6u7BlS1,0,2,10,2,1.588,4,3,win
166:R_9Nac2hjg6u7BlS1,0,2,10,3,0.868,4,3,win
166:R_9Nac2hjg6u7BlS1,0,2,10,4,0.91,4,3,win
166:R_9Nac2hjg6u7BlS1,1,3,27,1,1.731,9,9,win
166:R_9Nac2hjg6u7BlS1,1,3,27,2,1.221,9,9,win
166:R_9Nac2hjg6u7BlS1,1,3,27,3,2.125,9,9,win
166:R_9Nac2hjg6u7BlS1,1,3,27,4,2.45,9,9,win
166:R_9Nac2hjg6u7BlS1,1,3,27,5,2.182,9,9,win
166:R_9Nac2hjg6u7BlS1,1,3,27,6,4.692,9,9,win
166:R_9Nac2hjg6u7BlS1,1,3,27,7,4.351,9,9,win
166:R_9Nac2hjg6u7BlS1,1,3,27,8,3.246,9,9,win
166:R_9Nac2hjg6u7BlS1,1,3,27,9,1.024,9,9,win
166:R_9Nac2hjg6u7BlS1,2,4,34,1,2.079,6,5,win
166:R_9Nac2hjg6u7BlS1,2,4,34,2,2.692,6,5,win
166:R_9Nac2hjg6u7BlS1,2,4,34,3,1.964,6,5,win
166:R_9Nac2hjg6u7BlS1,2,4,34,4,2.308,6,5,win
166:R_9Nac2hjg6u7BlS1,2,4,34,5,1.119,6,5,win
166:R_9Nac2hjg6u7BlS1,2,4,34,6,3.476,6,5,win
166:R_9Nac2hjg6u7BlS1,3,5,46,1,2.518,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,2,2.084,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,3,3.468,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,4,2.028,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,5,1.11,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,6,2.368,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,7,1.957,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,8,3.398,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,9,2.762,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,10,2.123,11,11,win
166:R_9Nac2hjg6u7BlS1,3,5,46,11,0.587,11,11,win
166:R_9Nac2hjg6u7BlS1,4,6,51,1,2.636,4,3,win
166:R_9Nac2hjg6u7BlS1,4,6,51,2,2.081,4,3,win
166:R_9Nac2hjg6u7BlS1,4,6,51,3,0.567,4,3,win
166:R_9Nac2hjg6u7BlS1,4,6,51,4,0.572,4,3,win
166:R_9Nac2hjg6u7BlS1,5,7,67,1,2.399,8,9,opponent win
166:R_9Nac2hjg6u7BlS1,5,7,67,2,5.469,8,9,opponent win
166:R_9Nac2hjg6u7BlS1,5,7,67,3,1.78,8,9,opponent win
166:R_9Nac2hjg6u7BlS1,5,7,67,4,0.74,8,9,opponent win
166:R_9Nac2hjg6u7BlS1,5,7,67,5,1.425,8,9,opponent win
166:R_9Nac2hjg6u7BlS1,5,7,67,6,3.818,8,9,opponent win
166:R_9Nac2hjg6u7BlS1,5,7,67,7,1.076,8,9,opponent win
166:R_9Nac2hjg6u7BlS1,5,7,67,8,7.141,8,9,opponent win
166:R_9Nac2hjg6u7BlS1,6,6,59,1,2.789,9,8,win
166:R_9Nac2hjg6u7BlS1,6,6,59,2,1.229,9,8,win
166:R_9Nac2hjg6u7BlS1,6,6,59,3,3.164,9,8,win
166:R_9Nac2hjg6u7BlS1,6,6,59,4,1.156,9,8,win
166:R_9Nac2hjg6u7BlS1,6,6,59,5,1.195,9,8,win
166:R_9Nac2hjg6u7BlS1,6,6,59,6,2.341,9,8,win
166:R_9Nac2hjg6u7BlS1,6,6,59,7,3.711,9,8,win
166:R_9Nac2hjg6u7BlS1,6,6,59,8,4.595,9,8,win
166:R_9Nac2hjg6u7BlS1,6,6,59,9,0.951,9,8,win
166:R_9Nac2hjg6u7BlS1,7,6,50,1,2.196,7,8,opponent win
166:R_9Nac2hjg6u7BlS1,7,6,50,2,0.984,7,8,opponent win
166:R_9Nac2hjg6u7BlS1,7,6,50,3,1.368,7,8,opponent win
166:R_9Nac2hjg6u7BlS1,7,6,50,4,0.92,7,8,opponent win
166:R_9Nac2hjg6u7BlS1,7,6,50,5,1.835,7,8,opponent win
166:R_9Nac2hjg6u7BlS1,7,6,50,6,4.938,7,8,opponent win
166:R_9Nac2hjg6u7BlS1,7,6,50,7,4.641,7,8,opponent win
166:R_9Nac2hjg6u7BlS1,8,5,46,1,2.208,4,3,win
166:R_9Nac2hjg6u7BlS1,8,5,46,2,2.158,4,3,win
166:R_9Nac2hjg6u7BlS1,8,5,46,3,0.882,4,3,win
166:R_9Nac2hjg6u7BlS1,8,5,46,4,1.149,4,3,win
166:R_9Nac2hjg6u7BlS1,9,5,47,1,1.661,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,2,1.248,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,3,2.718,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,4,1.133,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,5,1.283,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,6,4.129,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,7,1.15,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,8,1.822,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,9,1.91,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,10,3.214,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,11,9.732,12,12,win
166:R_9Nac2hjg6u7BlS1,9,5,47,12,1.539,12,12,win
166:R_9Nac2hjg6u7BlS1,10,6,50,1,3.817,5,4,win
166:R_9Nac2hjg6u7BlS1,10,6,50,2,1.466,5,4,win
166:R_9Nac2hjg6u7BlS1,10,6,50,3,1.986,5,4,win
166:R_9Nac2hjg6u7BlS1,10,6,50,4,1.196,5,4,win
166:R_9Nac2hjg6u7BlS1,10,6,50,5,1.558,5,4,win
166:R_9Nac2hjg6u7BlS1,11,7,62,1,2.705,5,6,opponent win
166:R_9Nac2hjg6u7BlS1,11,7,62,2,5.071,5,6,opponent win
166:R_9Nac2hjg6u7BlS1,11,7,62,3,4.685,5,6,opponent win
166:R_9Nac2hjg6u7BlS1,11,7,62,4,1.546,5,6,opponent win
